City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-joseph,-21.3667,55.6167,20.21,85,23,4.48,RE,1689808189
1,washington,47.5001,-120.5015,35.27,18,0,3.75,US,1689808093
2,kalmunai,7.4167,81.8167,25.82,71,82,2.79,LK,1689808189
3,georgetown,5.4112,100.3354,25.96,94,20,0.51,MY,1689807985
4,rio grande,-32.035,-52.0986,11.64,77,79,6.11,BR,1689808063
5,klyuchi,52.2667,79.1667,21.52,60,100,2.2,RU,1689808189
6,farasan,16.7022,42.1183,32.14,66,90,1.84,SA,1689808190
7,hermanus,-34.4187,19.2345,10.69,69,54,4.77,ZA,1689808190
8,hawaiian paradise park,19.5933,-154.9731,26.73,95,75,7.72,US,1689808190
9,tanabe,33.7333,135.3667,26.56,89,75,3.09,JP,1689808190
10,fale old settlement,-9.3852,-171.2468,28.5,77,27,6.15,TK,1689808190
11,college,64.8569,-147.8028,22.55,71,100,1.54,US,1689808036
12,crane,31.3974,-102.3501,39.07,14,5,8.56,US,1689808113
13,ribeira grande,38.5167,-28.7,20.99,88,100,1.34,PT,1689808191
14,nizao,18.25,-70.2,29.04,78,100,5.73,DO,1689808191
15,happy valley-goose bay,53.3168,-60.3315,20.17,94,75,1.03,CA,1689808191
16,puerto ayora,-0.7393,-90.3518,25.86,93,20,2.24,EC,1689808191
17,waitangi,-43.9535,-176.5597,13.23,90,88,1.79,NZ,1689808191
18,margaret river,-33.95,115.0667,12.57,71,88,4.89,AU,1689808192
19,kapa'a,22.0752,-159.319,28.18,79,100,9.26,US,1689808192
20,ilulissat,69.2167,-51.1,11.01,76,75,0.0,GL,1689807908
21,targovishte,43.2592,26.5892,22.63,53,3,1.97,BG,1689808192
22,broome,42.2506,-75.833,25.21,63,40,4.12,US,1689808192
23,port-aux-francais,-49.35,70.2167,3.09,91,100,9.87,TF,1689808192
24,bethel,41.3712,-73.414,27.05,71,20,0.0,US,1689808139
25,avarua,-21.2078,-159.775,23.03,49,41,4.12,CK,1689808193
26,portland,45.5234,-122.6762,36.66,30,75,6.17,US,1689807785
27,bredasdorp,-34.5322,20.0403,7.46,77,57,0.77,ZA,1689808193
28,hamilton,39.1834,-84.5333,28.18,78,0,3.6,US,1689808301
29,thompson,55.7435,-97.8558,27.42,34,38,2.65,CA,1689808193
30,papatowai,-46.5619,169.4708,6.48,69,84,3.72,NZ,1689808193
31,gadzhiyevo,69.2551,33.3362,11.37,95,100,6.33,RU,1689808194
32,trenton,40.217,-74.7429,28.1,78,100,1.54,US,1689807951
33,kodiak,57.79,-152.4072,12.73,94,100,1.54,US,1689808194
34,grytviken,-54.2811,-36.5092,-1.3,83,58,5.72,GS,1689808194
35,vilyuchinsk,52.9306,158.4028,14.15,90,87,2.65,RU,1689808194
36,marsa alam,25.0757,34.8918,32.5,37,0,1.69,EG,1689808194
37,isafjordur,66.0755,-23.124,9.27,76,78,1.48,IS,1689808194
38,albany,42.6001,-73.9662,26.05,59,20,1.27,US,1689807964
39,hutchinson island south,27.2995,-80.2205,31.12,76,40,4.12,US,1689808195
40,muroto-misakicho,33.2833,134.15,26.42,82,98,4.05,JP,1689808195
41,iqaluit,63.7506,-68.5145,2.89,98,100,2.82,CA,1689808195
42,puerto natales,-51.7236,-72.4875,0.64,91,100,0.84,CL,1689808145
43,afaahiti,-17.75,-149.2833,22.93,94,56,11.17,PF,1689808195
44,kittila,67.6647,24.8936,13.08,88,0,4.63,FI,1689808195
45,borogontsy,62.6683,131.1683,14.58,72,100,1.36,RU,1689808196
46,lihue,21.9789,-159.3672,27.77,77,100,9.26,US,1689808196
47,kargil,34.5667,76.1,15.07,66,89,1.48,IN,1689808196
48,bakanas,44.8081,76.2772,24.7,55,100,3.99,KZ,1689808196
49,west island,-12.1568,96.8225,24.99,83,75,6.17,CC,1689808196
50,pointe-noire,-4.7761,11.8635,21.83,84,85,3.41,CG,1689808197
51,bilibino,68.0546,166.4372,15.38,83,97,2.37,RU,1689808197
52,rawson,-43.3002,-65.1023,12.25,63,87,2.89,AR,1689807975
53,yellowknife,62.456,-114.3525,26.34,36,63,4.69,CA,1689808155
54,ust-nera,64.5667,143.2,22.36,49,85,1.06,RU,1689808197
55,filadelfia,39.9523,-75.1638,28.54,75,75,2.57,US,1689807946
56,saldanha,-33.0117,17.9442,10.07,70,0,7.12,ZA,1689808198
57,nuuk,64.1835,-51.7216,9.34,93,75,5.14,GL,1689808083
58,santa cruz,-17.8,-63.1667,16.72,58,6,0.58,BO,1689808142
59,aasiaat,68.7098,-52.8699,5.21,99,100,2.01,GL,1689808198
60,san patricio,28.017,-97.5169,36.4,53,0,8.03,US,1689808198
61,kuhmo,64.1333,29.5167,11.65,94,100,2.14,FI,1689808198
62,parabel',58.6978,81.4825,15.23,73,95,3.19,RU,1689808199
63,ushuaia,-54.8,-68.3,-1.8,94,100,2.0,AR,1689808199
64,morondava,-20.2833,44.2833,23.0,67,97,4.06,MG,1689808199
65,hadibu,12.65,54.0333,25.05,81,94,9.87,YE,1689808199
66,lebu,-37.6167,-73.65,12.9,95,100,6.02,CL,1689808199
67,kavaratti,10.5669,72.642,28.07,79,100,9.37,IN,1689808200
68,midvagur,62.0511,-7.1939,7.46,93,100,8.23,FO,1689808200
69,hasaki,35.7333,140.8333,26.22,87,94,5.47,JP,1689808200
70,bichura,50.5881,107.6022,15.64,56,28,1.14,RU,1689808200
71,adamstown,-25.066,-130.1015,22.3,85,100,10.47,PN,1689808201
72,ciudad lazaro cardenas,17.9583,-102.2,31.41,69,46,5.63,MX,1689808201
73,hithadhoo,-0.6,73.0833,27.58,78,74,6.32,MV,1689808201
74,port mathurin,-19.6833,63.4167,23.67,62,67,10.03,MU,1689808201
75,invercargill,-46.4,168.35,6.4,78,55,4.01,NZ,1689808201
76,whitehorse,60.7161,-135.0538,23.94,32,71,4.05,CA,1689808059
77,kalynivka,49.4539,28.5261,16.87,57,88,2.89,UA,1689808202
78,haapajarvi,63.75,25.3333,13.58,98,2,1.79,FI,1689808202
