City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mejit,10.2753,170.8646,28.61,79,100,6.87,MH,1689981147
1,ulladulla,-35.35,150.4667,11.61,52,58,2.84,AU,1689981147
2,chonchi,-42.6128,-73.8092,7.84,94,100,1.43,CL,1689981147
3,port-aux-francais,-49.35,70.2167,0.93,61,100,14.06,TF,1689981147
4,puerto natales,-51.7236,-72.4875,-2.78,96,100,1.61,CL,1689981144
5,adamstown,-25.066,-130.1015,21.08,72,50,13.66,PN,1689981147
6,albany,42.6001,-73.9662,23.63,82,3,0.89,US,1689981125
7,oslo,59.9127,10.7461,12.61,92,100,0.52,NO,1689981077
8,port alfred,-33.5906,26.891,19.38,51,86,8.49,ZA,1689981148
9,mount gambier,-37.8333,140.7667,9.05,92,60,3.8,AU,1689981148
10,cidade velha,14.9167,-23.6167,27.26,74,20,5.14,CV,1689981148
11,constantia,44.1833,28.65,20.39,83,0,4.72,RO,1689981069
12,edinburgh of the seven seas,-37.0676,-12.3116,12.43,67,100,7.54,SH,1689981148
13,yellowknife,62.456,-114.3525,26.29,29,100,5.66,CA,1689981148
14,bredasdorp,-34.5322,20.0403,7.14,72,97,1.89,ZA,1689981149
15,cabo san lucas,22.8909,-109.9124,37.01,83,0,1.54,MX,1689980583
16,yatou,37.15,122.3833,24.67,96,100,8.94,CN,1689981149
17,usinsk,65.9939,57.5281,16.35,95,100,5.25,RU,1689981149
18,ust-nera,64.5667,143.2,15.41,93,100,2.84,RU,1689981149
19,atafu village,-8.5421,-172.5159,28.74,70,71,4.56,TK,1689981149
20,puerto ayora,-0.7393,-90.3518,25.38,80,67,5.33,EC,1689981150
21,east london,-33.0153,27.9116,17.88,51,90,6.75,ZA,1689981150
22,ar raqqah,35.95,39.0167,29.1,42,0,8.54,SY,1689981150
23,st. john's,47.5649,-52.7093,22.66,78,20,4.12,CA,1689981150
24,sisimiut,66.9395,-53.6735,6.39,92,100,1.45,GL,1689981150
25,udachny,66.4167,112.4,20.25,72,82,7.34,RU,1689981150
26,blackmans bay,-43.0167,147.3167,8.18,85,55,3.04,AU,1689981150
27,karliova,39.2983,41.0142,16.4,72,0,2.91,TR,1689981151
28,port elizabeth,-33.918,25.5701,11.17,81,0,2.06,ZA,1689981151
29,letlhakeng,-24.0944,25.0298,10.31,88,16,5.38,BW,1689981082
30,hassi messaoud,31.6804,6.0729,34.92,10,0,2.06,DZ,1689981151
31,haiku-pauwela,20.9219,-156.3051,30.01,51,40,11.32,US,1689981151
32,malabar,-33.9667,151.25,11.55,58,20,6.69,AU,1689981151
33,tiksi,71.6872,128.8694,10.66,55,30,4.24,RU,1689981151
34,ocean city,39.2776,-74.5746,28.9,65,42,1.52,US,1689981152
35,waitangi,-43.9535,-176.5597,12.12,95,100,2.24,NZ,1689980923
36,grytviken,-54.2811,-36.5092,3.31,95,100,7.34,GS,1689981152
37,west island,-12.1568,96.8225,24.99,78,40,5.66,CC,1689981152
38,zheleznogorsk-ilimskiy,56.5768,104.1217,17.47,66,12,0.88,RU,1689981152
39,murghob,38.1702,73.9667,11.11,74,93,2.32,TJ,1689981152
40,dungarvan,52.0881,-7.6253,14.75,100,100,4.02,IE,1689981153
41,hawaiian paradise park,19.5933,-154.9731,28.73,81,40,4.63,US,1689981153
42,alaghsas,17.0187,8.0168,31.64,41,84,6.15,NE,1689981153
43,berdigestyakh,62.0989,126.6992,17.77,56,31,2.95,RU,1689981153
44,dwarka,22.2394,68.9678,27.93,84,100,6.19,IN,1689981153
45,geraldton,-28.7667,114.6,9.23,93,0,3.6,AU,1689981154
46,borkum,53.5809,6.6915,14.97,76,42,8.99,DE,1689981154
47,saynshand,44.8824,110.1163,17.96,64,81,5.42,MN,1689981154
48,gamba,-2.65,10.0,21.13,87,12,2.41,GA,1689981154
49,la'ie,21.6477,-157.9253,29.98,68,70,1.79,US,1689981154
50,yung shue wan,22.2333,114.1167,29.26,83,83,2.18,HK,1689981155
51,bereznik,62.8551,42.7072,12.88,97,100,2.48,RU,1689981155
52,margherita,27.2833,95.6833,26.18,86,100,0.65,IN,1689981155
53,dangriga,16.9692,-88.2321,28.88,77,100,3.49,BZ,1689981155
54,bethel,41.3712,-73.414,27.05,74,0,2.57,US,1689980896
55,fort st. john,56.2499,-120.8529,24.94,44,75,4.12,CA,1689981135
56,coquimbo,-29.9533,-71.3436,13.85,88,0,2.06,CL,1689980900
57,port mathurin,-19.6833,63.4167,22.66,79,62,7.49,MU,1689981155
58,lorengau,-2.0226,147.2712,28.24,77,71,2.13,PG,1689981156
59,manokwari,-0.8667,134.0833,26.82,75,94,1.44,ID,1689981156
60,monticello,45.3055,-93.7941,28.97,43,0,4.12,US,1689981156
61,margaret river,-33.95,115.0667,11.03,78,1,1.52,AU,1689981156
62,akureyri,65.6835,-18.0878,11.96,76,75,0.0,IS,1689981156
63,curillo,1.0333,-75.9191,22.16,96,100,1.55,CO,1689981156
64,kuraymah,18.55,31.85,35.46,13,51,4.44,SD,1689981157
65,kirkland lake,48.1446,-80.0377,22.16,46,17,4.12,CA,1689981157
66,mchinji,-13.7984,32.8802,12.52,84,0,1.77,MW,1689980893
67,isafjordur,66.0755,-23.124,11.04,69,94,1.65,IS,1689981157
68,al mansurah,31.0364,31.3807,23.86,74,0,1.91,EG,1689981157
69,klyuchi,52.2667,79.1667,18.23,79,96,3.13,RU,1689981157
70,sankeshwar,16.2667,74.4833,21.44,96,100,4.53,IN,1689981157
71,murzuq,25.9155,13.9184,30.66,17,0,3.87,LY,1689981158
72,kirensk,57.7853,108.1119,18.63,67,10,1.17,RU,1689981158
73,stanley,54.868,-1.6985,12.25,92,20,2.06,GB,1689981158
74,mar del plata,-38.0023,-57.5575,16.08,90,100,4.92,AR,1689981158
75,juneau,58.3019,-134.4197,17.34,92,100,2.06,US,1689981158
76,thompson,55.7435,-97.8558,21.09,64,75,5.14,CA,1689981158
77,midvagur,62.0511,-7.1939,11.46,82,100,3.09,FO,1689981158
78,tsiombe,-25.3,45.4833,18.43,64,20,5.45,MG,1689981159
79,tympaki,35.0729,24.7685,30.12,40,0,0.89,GR,1689981159
80,berriozabal,16.8,-93.2667,26.18,95,85,2.44,MX,1689981159
81,urangan,-25.3,152.9,17.81,52,0,5.12,AU,1689981159
82,dunedin,-45.8742,170.5036,8.22,64,13,3.58,NZ,1689980988
83,delesti,46.7,27.55,21.16,54,53,5.31,RO,1689981159
84,flying fish cove,-10.4217,105.6791,23.82,83,100,7.2,CX,1689981160
85,ayvacik,39.6011,26.4047,24.32,60,0,2.65,TR,1689981160
86,portland,45.5234,-122.6762,32.56,39,0,3.6,US,1689980572
87,hasaki,35.7333,140.8333,27.38,74,10,4.38,JP,1689981160
88,college,64.8569,-147.8028,25.61,46,20,1.54,US,1689981160
89,carnarvon,-24.8667,113.6333,13.47,36,0,9.71,AU,1689981160
90,island harbour,50.724,-1.2758,15.56,76,43,0.45,GB,1689981161
91,divnoye,45.9089,43.3547,23.18,52,6,3.51,RU,1689981161
92,faro,37.0194,-7.9322,22.32,60,0,5.14,PT,1689981161
93,qaqortoq,60.7167,-46.0333,7.41,91,33,0.35,GL,1689981161
94,bodo,67.28,14.405,12.65,96,100,1.54,NO,1689981161
95,igarka,67.4667,86.5833,17.31,73,74,4.01,RU,1689981162
96,mao,39.8885,4.2658,25.31,69,0,4.63,ES,1689981162
97,plastun,44.7561,136.2939,22.27,72,56,1.84,RU,1689981162
